t_sec,frame,state,time_in_state,queue_count,queue_ema,avg_wait,max_wait,num_long_wait_60s,arrival_ema,discharge_ema
0.1,9707983,Green,0.1,0,0.0,0.0,0.0,0,0.0,0.0
0.2,9707984,Green,0.2,0,0.0,0.0,0.0,0,0.0,0.0
0.3,9707985,Green,0.3,0,0.0,0.0,0.0,0,0.0,0.0
0.4,9707986,Green,0.4,0,0.0,0.0,0.0,0,0.0,0.0
0.5,9707987,Green,0.5,0,0.0,0.0,0.0,0,0.0,0.0
0.6,9707988,Green,0.6,0,0.0,0.0,0.0,0,0.0,0.0
0.7,9707989,Green,0.7,0,0.0,0.0,0.0,0,0.0,0.0
0.8,9707990,Green,0.8,0,0.0,0.0,0.0,0,0.0,0.0
0.9,9707991,Green,0.9,0,0.0,0.0,0.0,0,0.0,0.0
1.0,9707992,Green,1.0,0,0.0,0.0,0.0,0,0.0,0.0
1.1,9707993,Green,1.1,0,0.0,0.0,0.0,0,0.0,0.0
1.2,9707994,Green,1.2,0,0.0,0.0,0.0,0,0.0,0.0
1.3,9707995,Green,1.3,0,0.0,0.0,0.0,0,0.0,0.0
1.4,9707996,Green,1.4,0,0.0,0.0,0.0,0,0.0,0.0
1.5,9707997,Green,1.5,0,0.0,0.0,0.0,0,0.0,0.0
1.6,9707998,Green,1.6,0,0.0,0.0,0.0,0,0.0,0.0
1.7,9707999,Green,1.7,0,0.0,0.0,0.0,0,0.0,0.0
1.8,9708000,Green,1.8,0,0.0,0.0,0.0,0,0.0,0.0
1.9,9708001,Green,1.9,0,0.0,0.0,0.0,0,0.0,0.0
2.0,9708002,Green,2.0,0,0.0,0.0,0.0,0,0.0,0.0
2.1,9708003,Green,2.1,0,0.0,0.0,0.0,0,0.0,0.0
2.2,9708004,Green,2.2,0,0.0,0.0,0.0,0,0.0,0.0
2.3,9708005,Green,2.3,0,0.0,0.0,0.0,0,0.0,0.0
2.4,9708006,Green,2.4,0,0.0,0.0,0.0,0,0.0,0.0
2.5,9708007,Green,2.5,0,0.0,0.0,0.0,0,0.0,0.0
2.6,9708008,Green,2.6,0,0.0,0.0,0.0,0,0.0,0.0
2.7,9708009,Green,2.7,0,0.0,0.0,0.0,0,0.0,0.0
2.8,9708010,Green,2.8,0,0.0,0.0,0.0,0,0.0,0.0
2.9,9708011,Green,2.9,0,0.0,0.0,0.0,0,0.0,0.0
3.0,9708012,Green,3.0,0,0.0,0.0,0.0,0,0.0,0.0
3.1,9708013,Green,3.1,0,0.0,0.0,0.0,0,0.0,0.0
3.2,9708014,Green,3.2,0,0.0,0.0,0.0,0,0.0,0.0
3.3,9708015,Green,3.3,0,0.0,0.0,0.0,0,0.0,0.0
3.4,9708016,Green,3.4,0,0.0,0.0,0.0,0,0.0,0.0
3.5,9708017,Green,3.5,0,0.0,0.0,0.0,0,0.0,0.0
3.6,9708018,Green,3.6,0,0.0,0.0,0.0,0,0.0,0.0
3.7,9708019,Green,3.7,0,0.0,0.0,0.0,0,0.0,0.0
3.8,9708020,Green,3.8,0,0.0,0.0,0.0,0,0.0,0.0
3.9,9708021,Green,3.9,0,0.0,0.0,0.0,0,0.0,0.0
4.0,9708022,Green,4.0,0,0.0,0.0,0.0,0,0.0,0.0
4.1,9708023,Green,4.1,0,0.0,0.0,0.0,0,0.0,0.0
4.2,9708024,Green,4.2,0,0.0,0.0,0.0,0,0.0,0.0
4.3,9708025,Green,4.3,0,0.0,0.0,0.0,0,0.0,0.0
4.4,9708026,Green,4.4,0,0.0,0.0,0.0,0,0.0,0.0
4.5,9708027,Green,4.5,0,0.0,0.0,0.0,0,0.0,0.0
4.6,9708028,Green,4.6,0,0.0,0.0,0.0,0,0.0,0.0
4.7,9708029,Yellow,0.1,0,0.0,0.0,0.0,0,0.0,0.0
4.8,9708030,Yellow,0.2,0,0.0,0.0,0.0,0,0.0,0.0
4.9,9708031,Yellow,0.3,0,0.0,0.0,0.0,0,0.0,0.0
5.0,9708032,Yellow,0.4,0,0.0,0.0,0.0,0,0.0,0.0
5.1,9708033,Yellow,0.5,0,0.0,0.0,0.0,0,0.0,0.0
5.2,9708034,Yellow,0.6,0,0.0,0.0,0.0,0,0.0,0.0
5.3,9708035,Yellow,0.7,0,0.0,0.0,0.0,0,0.0,0.0
5.4,9708036,Yellow,0.8,0,0.0,0.0,0.0,0,0.0,0.0
5.5,9708037,Yellow,0.9,0,0.0,0.0,0.0,0,0.0,0.0
5.6,9708038,Yellow,1.0,0,0.0,0.0,0.0,0,0.0,0.0
5.7,9708039,Yellow,1.1,0,0.0,0.0,0.0,0,0.0,0.0
5.8,9708040,Yellow,1.2,0,0.0,0.0,0.0,0,0.0,0.0
5.9,9708041,Yellow,1.3,0,0.0,0.0,0.0,0,0.0,0.0
6.0,9708042,Yellow,1.4,0,0.0,0.0,0.0,0,0.0,0.0
6.1,9708043,Yellow,1.5,0,0.0,0.0,0.0,0,0.0,0.0
6.2,9708044,Yellow,1.6,0,0.0,0.0,0.0,0,0.0,0.0
6.3,9708045,Yellow,1.7,0,0.0,0.0,0.0,0,0.0,0.0
6.4,9708046,Yellow,1.8,0,0.0,0.0,0.0,0,0.0,0.0
6.5,9708047,Yellow,1.9,0,0.0,0.0,0.0,0,0.0,0.0
6.6,9708048,Yellow,2.0,0,0.0,0.0,0.0,0,0.0,0.0
6.7,9708049,Yellow,2.1,0,0.0,0.0,0.0,0,0.0,0.0
6.8,9708050,Yellow,2.2,0,0.0,0.0,0.0,0,0.0,0.0
6.9,9708051,Yellow,2.3,0,0.0,0.0,0.0,0,0.0,0.0
7.0,9708052,Yellow,2.4,0,0.0,0.0,0.0,0,0.0,0.0
7.1,9708053,Yellow,2.5,0,0.0,0.0,0.0,0,0.0,0.0
