decision_step,episode_id,action,reward,done,obs_json,next_obs_json
1,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01666666753590107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09333333373069763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09333333373069763, 0.0]"
2,1,0,-6.128176466623942,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01666666753590107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09333333373069763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09333333373069763, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04833333194255829, 0.0, 1.6620740339590157e-08, 0.3189088702201843, 0.3189088702201843, 0.0, 0.09216000139713287, 0.0, 0.014999999664723873, 0.0, 4.984939732821658e-05, 0.12752898037433624, 0.12752898037433624, 0.0, 0.07999999821186066, 0.0, 0.17666666209697723, 0.0]"
3,1,1,-10.538466579914084,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04833333194255829, 0.0, 1.6620740339590157e-08, 0.3189088702201843, 0.3189088702201843, 0.0, 0.09216000139713287, 0.0, 0.014999999664723873, 0.0, 4.984939732821658e-05, 0.12752898037433624, 0.12752898037433624, 0.0, 0.07999999821186066, 0.0, 0.17666666209697723, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1316666603088379, 0.0, 2.989181917838386e-16, 0.0, 0.0, 0.0, 0.030198989436030388, 0.0, 0.09833333641290665, 0.0, 0.0003314839559607208, 0.2677426338195801, 0.43678930401802063, 0.0, 0.27261438965797424, 0.0, 0.0833333358168602, 1.0]"
4,1,0,-19.562444485293497,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1316666603088379, 0.0, 2.989181917838386e-16, 0.0, 0.0, 0.0, 0.030198989436030388, 0.0, 0.09833333641290665, 0.0, 0.0003314839559607208, 0.2677426338195801, 0.43678930401802063, 0.0, 0.27261438965797424, 0.0, 0.0833333358168602, 1.0]","[0.0, 0.0008647201466374099, 0.04771958291530609, 0.04771958291530609, 0.0, 0.10000000149011612, 0.0, 0.0833333358168602, 0.0, 5.3759391576614665e-24, 0.0, 0.0, 0.0, 0.00989560503512621, 0.0, 0.014999999664723873, 0.05000000074505806, 0.014999999664723873, 0.26827386021614075, 0.5365477204322815, 0.05000000074505806, 0.0893302857875824, 0.0, 0.0833333358168602, 0.0]"
5,1,0,-21.20931518369251,False,"[0.0, 0.0008647201466374099, 0.04771958291530609, 0.04771958291530609, 0.0, 0.10000000149011612, 0.0, 0.0833333358168602, 0.0, 5.3759391576614665e-24, 0.0, 0.0, 0.0, 0.00989560503512621, 0.0, 0.014999999664723873, 0.05000000074505806, 0.014999999664723873, 0.26827386021614075, 0.5365477204322815, 0.05000000074505806, 0.0893302857875824, 0.0, 0.0833333358168602, 0.0]","[0.0, 1.555169014400004e-11, 0.359282910823822, 0.359282910823822, 0.0, 0.03276799991726875, 0.0, 0.1666666716337204, 0.0, 0.00414170790463686, 0.16809435188770294, 0.20737376809120178, 0.0, 0.21124258637428284, 0.0, 0.046666666865348816, 0.0, 2.697697620845929e-10, 0.3123530447483063, 0.3123530447483063, 0.0, 0.07023175060749054, 0.0, 0.013333333656191826, 0.0]"
6,1,0,-48.17589144905411,False,"[0.0, 1.555169014400004e-11, 0.359282910823822, 0.359282910823822, 0.0, 0.03276799991726875, 0.0, 0.1666666716337204, 0.0, 0.00414170790463686, 0.16809435188770294, 0.20737376809120178, 0.0, 0.21124258637428284, 0.0, 0.046666666865348816, 0.0, 2.697697620845929e-10, 0.3123530447483063, 0.3123530447483063, 0.0, 0.07023175060749054, 0.0, 0.013333333656191826, 0.0]","[0.0, 2.7969171123980545e-19, 0.680389940738678, 0.680389940738678, 0.05000000074505806, 0.010737418197095394, 0.0, 0.25, 0.0, 9.178767504636198e-05, 0.31836998462677, 0.5278703570365906, 0.05000000074505806, 0.23561997711658478, 0.0, 0.12999999523162842, 0.0, 4.85171497277617e-18, 0.0, 0.0, 0.0, 0.023013539612293243, 0.0, 0.09666666388511658, 0.0]"
7,1,1,-43.341098849243586,False,"[0.0, 2.7969171123980545e-19, 0.680389940738678, 0.680389940738678, 0.05000000074505806, 0.010737418197095394, 0.0, 0.25, 0.0, 9.178767504636198e-05, 0.31836998462677, 0.5278703570365906, 0.05000000074505806, 0.23561997711658478, 0.0, 0.12999999523162842, 0.0, 4.85171497277617e-18, 0.0, 0.0, 0.0, 0.023013539612293243, 0.0, 0.09666666388511658, 0.0]","[0.0, 5.6822802463329936e-08, 0.5782246589660645, 0.9552281498908997, 0.05000000074505806, 0.0675184354186058, 0.0, 0.0833333358168602, 0.0, 1.6507692565323473e-12, 0.6637669205665588, 0.8028498888015747, 0.10000000149011612, 0.07720795273780823, 0.0, 0.0833333358168602, 0.0, 8.725639160158606e-26, 0.0, 0.0, 0.0, 0.007541076745837927, 0.0, 0.013333333656191826, 1.0]"
8,1,1,-33.21580808613037,False,"[0.0, 5.6822802463329936e-08, 0.5782246589660645, 0.9552281498908997, 0.05000000074505806, 0.0675184354186058, 0.0, 0.0833333358168602, 0.0, 1.6507692565323473e-12, 0.6637669205665588, 0.8028498888015747, 0.10000000149011612, 0.07720795273780823, 0.0, 0.0833333358168602, 0.0, 8.725639160158606e-26, 0.0, 0.0, 0.0, 0.007541076745837927, 0.0, 0.013333333656191826, 1.0]","[0.05000000074505806, 0.02554984949529171, 0.6032570004463196, 1.0, 0.05000000074505806, 0.10212444514036179, 0.0, 0.011666666716337204, 0.0, 2.968850738620264e-20, 0.0, 0.0, 0.0, 0.025299502536654472, 0.0, 0.1666666716337204, 0.0, 1.569275774798138e-33, 0.0, 0.0, 0.0, 0.002471060026437044, 0.0, 0.04500000178813934, 1.0]"
9,1,0,-19.98898134785606,False,"[0.05000000074505806, 0.02554984949529171, 0.6032570004463196, 1.0, 0.05000000074505806, 0.10212444514036179, 0.0, 0.011666666716337204, 0.0, 2.968850738620264e-20, 0.0, 0.0, 0.0, 0.025299502536654472, 0.0, 0.1666666716337204, 0.0, 1.569275774798138e-33, 0.0, 0.0, 0.0, 0.002471060026437044, 0.0, 0.04500000178813934, 1.0]","[0.0, 3.993642167188227e-05, 0.6353412866592407, 1.0, 0.10000000149011612, 0.22802414000034332, 0.0, 0.0949999988079071, 0.0, 5.3393745109988e-28, 0.0, 0.0, 0.0, 0.008290140889585018, 0.0, 0.0833333358168602, 0.0, 2.822355236996614e-41, 0.0, 0.0, 0.0, 0.0008097169338725507, 0.0, 0.12833333015441895, 0.0]"
10,1,0,-36.12128100649516,False,"[0.0, 3.993642167188227e-05, 0.6353412866592407, 1.0, 0.10000000149011612, 0.22802414000034332, 0.0, 0.0949999988079071, 0.0, 5.3393745109988e-28, 0.0, 0.0, 0.0, 0.008290140889585018, 0.0, 0.0833333358168602, 0.0, 2.822355236996614e-41, 0.0, 0.0, 0.0, 0.0008097169338725507, 0.0, 0.12833333015441895, 0.0]","[0.0, 7.182425769587664e-13, 1.0, 1.0, 0.15000000596046448, 0.07471895217895508, 0.0, 0.011666666716337204, 0.0, 9.602678210686428e-36, 0.0, 0.0, 0.0, 0.0027165133506059647, 0.0, 0.1666666716337204, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002653280389495194, 0.0, 0.21166667342185974, 0.0]"
