decision_step,episode_id,action,phase,reward,state,queue_count,avg_wait,num_long_wait_60s,time_in_state
1,1,0,0,-0.0,Red,0,0.0,0,2.600000000000001
2,1,0,0,-0.0,Red,0,0.0,0,4.6
3,1,0,0,-0.0,Red,0,0.0,0,6.5999999999999925
4,1,0,0,-0.0,Red,0,0.0,0,8.599999999999985
5,1,0,0,-1.1059094389279684,Red,1,3.078336556752523,0,10.599999999999978
6,1,0,0,-5.493941611846289,Red,1,6.7311045328776045,0,12.599999999999971
7,1,0,0,-10.748003880182901,Red,0,13.73487663269043,0,14.599999999999964
8,1,1,1,-18.040273654460908,Green,0,21.748679399490356,0,2.0000000000000004
9,1,1,1,-25.46941304206848,Green,0,29.173136711120605,0,4.000000000000002
10,1,1,1,-33.00589851737023,Green,1,18.983197569847107,0,5.999999999999995
11,1,1,1,-13.219204968214035,Green,0,5.44422173500061,0,7.999999999999988
12,1,1,1,-8.559992587566375,Green,0,11.470639944076538,0,9.99999999999998
13,1,1,1,-16.38443921804428,Green,0,19.92279577255249,0,11.999999999999973
14,1,1,1,-22.923690140247345,Green,0,25.476077556610107,0,13.999999999999966
15,1,1,1,-22.31766458749771,Green,0,0.0,0,15.99999999999996
16,1,1,1,-0.0,Green,0,0.0,0,17.999999999999986
17,1,1,1,-0.0,Green,0,0.0,0,20.000000000000014
18,1,1,1,-0.0,Yellow,0,0.0,0,2.0000000000000004
19,1,1,1,-0.0,Red,0,0.0,0,0.8999999999999999
20,1,1,1,-0.0,Red,0,0.0,0,2.9000000000000012
21,1,1,1,-0.0,Red,0,0.0,0,4.899999999999999
22,1,1,1,-0.0,Red,0,0.0,0,6.8999999999999915
23,1,1,1,-0.0,Red,0,0.0,0,8.899999999999984
24,1,1,1,-0.0,Red,0,0.0,0,10.899999999999977
25,1,1,1,-0.0,Red,0,0.0,0,12.89999999999997
26,1,1,1,-0.0,Red,0,0.0,0,14.899999999999963
27,1,1,1,-0.0,Red,0,0.0,0,16.89999999999997
28,1,1,1,-0.0,Red,0,0.0,0,18.9
29,1,1,1,-0.0,Red,0,0.0,0,20.900000000000027
30,1,1,1,-0.0,Red,0,0.0,0,22.900000000000055
31,1,1,1,-0.0,Red,0,0.0,0,24.900000000000084
32,1,1,1,-0.59779571890831,Red,1,1.2307612895965576,0,26.900000000000112
33,1,0,0,-3.7348601877689362,Red,0,4.136467814445496,0,28.90000000000014
34,1,0,0,-5.351530323548923,Red,7,3.516155163447062,0,30.90000000000017
35,1,0,0,-9.654851624573464,Green,0,14.731308142344156,0,0.7
36,1,0,0,-13.600916588306427,Green,0,15.853355646133423,0,2.700000000000001
37,1,0,0,-18.47678815126419,Green,0,20.764775037765503,0,4.699999999999999
38,1,1,1,-17.38182812035084,Green,1,5.3058860301971436,0,6.699999999999992
39,1,1,1,-5.799659994935231,Green,3,5.4584208726882935,0,8.699999999999985
40,1,1,1,-12.308087357623238,Yellow,0,25.382893800735474,0,0.7
41,1,1,1,-15.004236721992493,Yellow,0,0.0,0,2.700000000000001
42,1,1,1,-0.0,Red,0,0.0,0,1.6000000000000003
43,1,1,1,-0.0,Red,0,0.0,0,3.600000000000002
44,1,1,1,-0.0,Red,0,0.0,0,5.599999999999996
45,1,1,1,-0.0,Red,0,0.0,0,7.599999999999989
46,1,1,1,-0.0,Red,0,0.0,0,9.599999999999982
47,1,1,1,-1.7487782955169677,Red,0,4.08232569694519,0,11.599999999999975
48,1,1,1,-6.933925712108612,Red,0,9.663042306900024,0,13.599999999999968
49,1,1,1,-12.75597940683365,Red,0,15.555760622024536,0,15.59999999999996
50,1,1,1,-18.57192381620407,Red,0,21.105677366256714,0,17.59999999999998
51,1,1,1,-14.238745836416879,Red,0,10.925437370936075,0,19.60000000000001
52,1,1,1,-10.042450362443924,Red,0,9.39811384677887,0,21.600000000000037
53,1,1,1,-12.27677491903305,Red,0,14.58945918083191,0,23.600000000000065
54,1,1,1,-16.992864871025084,Red,0,19.21543002128601,0,25.600000000000094
55,1,1,1,-9.452806471586229,Red,2,6.5925384044647215,0,27.600000000000122
56,1,0,0,-8.526865167617794,Red,0,8.215189695358276,0,29.60000000000015
57,1,0,0,-9.488770103454588,Red,0,8.956597725550333,0,31.60000000000018
58,1,0,0,-9.506346595287322,Green,0,11.648591041564941,0,1.4000000000000001
59,1,0,0,-14.929679028193155,Green,1,11.586480140686035,0,3.4000000000000017
60,1,0,0,-11.080036096913476,Green,1,6.893703877925873,0,5.399999999999997
61,1,0,0,-11.822980231046676,Green,0,15.57218074798584,0,7.39999999999999
62,1,1,1,-18.135033130645752,Green,0,20.3343722820282,0,9.399999999999983
63,1,1,1,-22.98839678764343,Yellow,0,25.442017316818237,0,1.4000000000000001
64,1,1,1,-27.986515593528747,Red,0,30.296855926513672,0,0.30000000000000004
65,1,1,1,-35.17730007171631,Red,0,40.42995738983154,0,2.3000000000000007
66,1,1,1,-43.29911448955536,Red,0,45.84011387825012,0,4.300000000000001
67,1,1,1,-48.3243292927742,Red,0,50.5611035823822,0,6.299999999999994
68,1,1,1,-52.956181931495664,Red,0,55.17063498497009,0,8.299999999999986
69,1,1,1,-50.202222120761874,Red,0,30.33032512664795,0,10.29999999999998
70,1,1,1,-34.7383944272995,Red,0,35.356916427612305,1,12.299999999999972
71,1,1,1,-38.73222156365713,Red,0,27.167255242665608,1,14.299999999999965
72,1,1,1,-29.933889859914775,Red,1,24.319068789482117,1,16.29999999999996
73,1,0,0,-30.764403835932416,Red,0,36.702665408452354,1,18.29999999999999
74,1,0,0,-41.14237812360129,Red,0,41.38760217030843,1,20.30000000000002
75,1,0,0,-45.84493643840155,Red,0,46.04373653729757,1,22.300000000000047
76,1,0,0,-54.58259517749151,Red,0,64.35871863365173,1,24.300000000000075
