decision_step,episode_id,action,reward,done,obs_json,next_obs_json
1,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.009999999776482582, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0]"
2,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04333333298563957, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07666666805744171, 0.0]"
3,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07666666805744171, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10999999940395355, 0.0]"
4,1,0,-0.0,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10999999940395355, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1433333307504654, 0.0]"
5,1,0,-1.1059094389279684,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1433333307504654, 0.0]","[0.05000000074505806, 0.050414249300956726, 0.025652805343270302, 0.03425965458154678, 0.0, 0.30000001192092896, 0.0, 0.17666666209697723, 0.0]"
6,1,0,-5.493941611846289,False,"[0.05000000074505806, 0.050414249300956726, 0.025652805343270302, 0.03425965458154678, 0.0, 0.30000001192092896, 0.0, 0.17666666209697723, 0.0]","[0.05000000074505806, 0.05402309447526932, 0.05609253793954849, 0.08661191165447235, 0.0, 0.3919999897480011, 0.0, 0.20999999344348907, 0.0]"
7,1,0,-10.748003880182901,False,"[0.05000000074505806, 0.05402309447526932, 0.05609253793954849, 0.08661191165447235, 0.0, 0.3919999897480011, 0.0, 0.20999999344348907, 0.0]","[0.0, 0.00024058819690253586, 0.11445730179548264, 0.13734683394432068, 0.0, 0.25088000297546387, 0.0, 0.2433333396911621, 0.0]"
8,1,1,-18.040273654460908,False,"[0.0, 0.00024058819690253586, 0.11445730179548264, 0.13734683394432068, 0.0, 0.25088000297546387, 0.0, 0.2433333396911621, 0.0]","[0.0, 1.9197076994714735e-07, 0.18123899400234222, 0.20412853360176086, 0.0, 0.16056320071220398, 0.0, 0.03333333507180214, 1.0]"
9,1,1,-25.46941304206848,False,"[0.0, 1.9197076994714735e-07, 0.18123899400234222, 0.20412853360176086, 0.0, 0.16056320071220398, 0.0, 0.03333333507180214, 1.0]","[0.0, 1.5317783153001585e-10, 0.24310947954654694, 0.2659990191459656, 0.0, 0.102760449051857, 0.0, 0.06666667014360428, 1.0]"
10,1,1,-33.00589851737023,False,"[0.0, 1.5317783153001585e-10, 0.24310947954654694, 0.2659990191459656, 0.0, 0.102760449051857, 0.0, 0.06666667014360428, 1.0]","[0.05000000074505806, 0.014999999664723873, 0.15819332003593445, 0.3163866400718689, 0.0, 0.06576668471097946, 0.0, 0.10000000149011612, 1.0]"
